Type,Service Request No,Created Date,Created Year,Created Month,Block Address,Description
Nuisance Animals,12-01670763,"Sep 25, 2012",2012,9,1700 W 100TH ST,RACCOONS - Other - THE PERSON AT THIS ADDRESS IS FEEDING THE RACCOONS AND OTHER WILDLIFE IN HER FRONT YARD AND THE ANIMALS ARE GETTING ALL OVER THERE NEIGHBOR'S CARS AND YARDS AND THERE IS FECES ALL OVER THE PLACE AND IT IS VERY DANGEROUS FOR PEOPLE WHO HAVE TO WALK IN THE AREA
Nuisance Animals,12-01673411,"Sep 26, 2012",2012,9,8000 S RICHMOND ST,raccoon - Other - raccoon in attic
Nuisance Animals,12-01688368,"Sep 29, 2012",2012,9,7400 N ROGERS AVE,Raccoons and Squirrels - Animal is Unrestrained - Animals have gotten inside of constituents walls Please call constituent for details and explain if there is anything you can do
Nuisance Animals,12-01714756,"Oct 05, 2012",2012,10,7200 S WASHTENAW AVE,raccoon - Other - raccooons coming from occupied house detoriated attic
Nuisance Animals,12-01720516,"Oct 07, 2012",2012,10,9200 S RACINE AVE,RACCOONS - Other - HAVE SEEN LRG RACCOONS IN THE AREA....WANTED TO ALERT ANIMAL
Nuisance Animals,13-00231571,"Feb 28, 2013",2013,2,3800 N OKETO AVE,CATS -Feeding stray cats in their yard - - FEEDING TWENTY  CATS & KITTENS IN THE BACKYARD UNDER PORCH -CAUSING RACCOONS AND SKUNKS -
Nuisance Animals,13-00398159,"Apr 08, 2013",2013,4,5600 S FAIRFIELD AVE,"DOG - Owner not picking up feces - CALLER STATES THAT THE OWNER NEVER CLEANS UP THE POOP IN HIS YARD AND THERE IS TWO DOG HOUSES AND RATS, RACCOONS HAVE BEEN SEEN IN THE YARD AND THERE IS LARGE HOLES BESIDE THE DOG HOUSES"
Nuisance Animals,13-00575615,"May 14, 2013",2013,5,4300 S VERNON AVE,raccoon - Other - have been seeing a number of raccoons in the area....if there is anything you can do pls ...
Nuisance Animals,13-00615984,"May 21, 2013",2013,5,4000 S ELLIS AVE,"Feeding stray cats in their yard - all wildlife - caller states the people are leaving feeding bowls on the front porch, and there are cats, opposum, squirrels, raccoons and all type of wildlife coming to eat from this feeding bowl....caller states she has pictures if they are needed."
Nuisance Animals,13-00659297,"May 29, 2013",2013,5,5900 W WALTON ST,"RACCOON - Non Pet Animals Owned (goats, chickens, pigs, etc) - 2 IN VAC PROP"
Nuisance Animals,13-00681742,"Jun 03, 2013",2013,6,5500 N NEENAH AVE,"raccoons, opossum, rats - Non Pet Animals Owned (goats, chickens, pigs, etc) - Other - animals living in garage, attacking pets"
Nuisance Animals,13-00726592,"Jun 10, 2013",2013,6,4500 S CALUMET AVE,Feeding stray cats in their yard - cat - WOMAN IN CONDO UNIT IS PUTTING FOOD IN THE FRONT YARD TO FEED STRAY CATS - THIS IS ATTRACTING OPOSSUMS AND RACCOONS.  WOMANS NAME IS MISS 
Nuisance Animals,13-00806717,"Jun 23, 2013",2013,6,3500 W 81ST ST,Feeding stray cats in their yard - cat. raccoon
Nuisance Animals,13-00851314,"Jun 28, 2013",2013,6,5100 S LAVERGNE AVE,"30 chickens - Non Pet Animals Owned (goats, chickens, pigs, etc) - rodents / mice / raccoons / possums"
Nuisance Animals,13-00945059,"Jul 15, 2013",2013,7,4600 W PETERSON AVE,cats and wildlife - Feeding stray cats in their yard - throwing food out for cats but raccoons are infesting due to this - cats & raccoons are infesting the area and going onto other residents properties terrorizing them
Nuisance Animals,13-00984612,"Jul 19, 2013",2013,7,7400 S OAKLEY AVE,"other - Other - Other - vacant house, raccoons in house"
Nuisance Animals,13-00990215,"Jul 20, 2013",2013,7,2900 W BYRON ST,"Feeding stray cats in their yard - cat...tenant lives in unit 1 - caller states the person in unit 1 is leaving trays of food underneath his deck or sitting on his deck, and there is always cats, raccoons, and opposums out there."
Nuisance Animals,13-01056581,"Jul 31, 2013",2013,7,2300 N KEELER AVE,RACCOONS - Other - RACCOONS ARE HARBORING IN VACANT PROPERTY
Nuisance Animals,13-01069897,"Aug 01, 2013",2013,8,7900 S MAY ST,RACCOONS - Too many animals being kept - SEVERAL RACCOONS INSIDE OF VACANT BLD AT 
Nuisance Animals,13-01091844,"Aug 05, 2013",2013,8,4500 W MONTANA ST,"ELDERLY MAN HAS RACCOONS, OPPOSUMS & OTHER ANIMALS IN HOME - Non Pet Animals Owned (goats, chickens, pigs, etc)"
Nuisance Animals,13-01108942,"Aug 07, 2013",2013,8,10700 S ARTESIAN AVE,FEEDING RACCOONS-SQUIRRELS - FEEDING RACCONS-SQUIRRELS - Feeding stray cats in their yard - - LEAVING LOAF OF BREAD IN BACKYARD -  -5 BOWELS IN FRONTYARD -SEEDS FOR PIGEONS
Nuisance Animals,13-01124163,"Aug 09, 2013",2013,8,9500 S AVENUE L , RACCOONS-OPOSSUMS-RATS -MICES - Too many animals being kept - - OPOSSUM ALMOST BITE CHILD -TOO MANY WILDLIFE ARE LIVING INSIDE OF HOME
Nuisance Animals,13-01171451,"Aug 16, 2013",2013,8,0 E 123RD ST,raccoon - Other - raccoon stuck in garbage cart / caller is afraid to turn over
